"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","71","test_create_courier_missing_required[password]","tests","2025-10-22","passed","2025-10-22","TestCourierCreate","test_courier_create","",""
"","110","test_create_order_various_colors[colors1]","tests","2025-10-22","passed","2025-10-22","TestCreateOrder","test_create_order","",""
"","115","test_accept_order_success","optional","2025-10-22","passed","2025-10-22","TestAcceptOrder","test_accept_order","",""
"","103","test_delete_courier_success","optional","2025-10-22","passed","2025-10-22","TestDeleteCourier","test_delete_courier","",""
"","79","test_login_missing_required[login]","tests","2025-10-22","passed","2025-10-22","TestCourierLogin","test_courier_login","",""
"","111","test_create_courier_missing_required[firstName]","tests","2025-10-22","passed","2025-10-22","TestCourierCreate","test_courier_create","",""
"","82","test_login_success_returns_id","tests","2025-10-22","passed","2025-10-22","TestCourierLogin","test_courier_login","",""
"","73","test_get_order_by_track_missing","optional","2025-10-22","passed","2025-10-22","TestGetOrderByTrack","test_get_order_by_track","",""
"","84","test_create_courier_duplicate","tests","2025-10-22","passed","2025-10-22","TestCourierCreate","test_courier_create","",""
"","72","test_delete_courier_no_id_path","optional","2025-10-22","passed","2025-10-22","TestDeleteCourier","test_delete_courier","",""
"","108","test_create_order_various_colors[colors2]","tests","2025-10-22","passed","2025-10-22","TestCreateOrder","test_create_order","",""
"","99","test_get_order_by_track_not_found","optional","2025-10-22","passed","2025-10-22","TestGetOrderByTrack","test_get_order_by_track","",""
"","89","test_create_order_various_colors[None]","tests","2025-10-22","passed","2025-10-22","TestCreateOrder","test_create_order","",""
"","95","test_accept_order_wrong_ids","optional","2025-10-22","passed","2025-10-22","TestAcceptOrder","test_accept_order","",""
"","7398","test_orders_list_contains_orders_array","tests","2025-10-22","passed","2025-10-22","TestOrdersList","test_orders_list","",""
"","81","test_login_nonexistent_user","tests","2025-10-22","passed","2025-10-22","TestCourierLogin","test_courier_login","",""
"","191","test_login_wrong_creds","tests","2025-10-22","passed","2025-10-22","TestCourierLogin","test_courier_login","",""
"","110","test_create_order_various_colors[colors0]","tests","2025-10-22","passed","2025-10-22","TestCreateOrder","test_create_order","",""
"","76","test_accept_order_missing_courier","optional","2025-10-22","passed","2025-10-22","TestAcceptOrder","test_accept_order","",""
"","106","test_create_order_various_colors[colors3]","tests","2025-10-22","passed","2025-10-22","TestCreateOrder","test_create_order","",""
"","60073","test_login_missing_required[password]","tests","2025-10-22","passed","2025-10-22","TestCourierLogin","test_courier_login","",""
"","80","test_delete_courier_nonexistent","optional","2025-10-22","passed","2025-10-22","TestDeleteCourier","test_delete_courier","",""
"","104","test_get_order_by_track_success","optional","2025-10-22","passed","2025-10-22","TestGetOrderByTrack","test_get_order_by_track","",""
"","82","test_create_courier_success","tests","2025-10-22","passed","2025-10-22","TestCourierCreate","test_courier_create","",""
"","72","test_create_courier_missing_required[login]","tests","2025-10-22","passed","2025-10-22","TestCourierCreate","test_courier_create","",""
